product_id,item_number,price,image_path
1211896,C47//848X,1590,images\1211896.JPG
1211901,D21//2387X,440,images\1211901.JPG
1211903,D21//U5042,1550,images\1211903.JPG
1211904,D21//U4869,1190,images\1211904.JPG
1211907,D21//U4783,850,images\1211907.JPG
1211908,D21//U4884,560,images\1211908.JPG
1211911,D43//2387X,6420,images\1211911.JPG
1211916,E19//U4884,2650,images\1211916.JPG
1211917,E23//U4812,9220,images\1211917.JPG
1211918,E24//2480X,1660,images\1211918.JPG
1211920,E24//U4783,3260,images\1211920.JPG
1211925,E36//U4654,3550,images\1211925.JPG
1211926,E54//U408,1330,images\1211926.JPG
1211931,F29//U5036,6540,images\1211931.JPG
1211934,F85//242X,1650,images\1211934.JPG
1211940,C39//1522X,2130,images\1211940.JPG
1211944,070//1522X,850,images\1211944.JPG
1211945,005//1522X,660,images\1211945.JPG
1211952,244//1832X,790,images\1211952.JPG
1211956,C13//1832X,840,images\1211956.JPG
1211960,C20//242X,430,images\1211960.JPG
1211962,419//U5042,6740,images\1211962.JPG
1211963,C15//U5042,3830,images\1211963.JPG
1211964,B13//U5042,4600,images\1211964.JPG
1211970,337//U4909,1460,images\1211970.JPG
1211971,160//U4799,1750,images\1211971.JPG
1211973,159//U4909,2670,images\1211973.JPG
1211974,A61//U4909,3280,images\1211974.JPG
1211975,F34//U4909,1510,images\1211975.JPG
1211977,070//U5037,1980,images\1211977.JPG
1211983,244//U5050,3370,images\1211983.JPG
1211984,419//U5050,6740,images\1211984.JPG
1211985,B90//U5050,4860,images\1211985.JPG
1211992,005//2799X,790,images\1211992.JPG
1211995,A60//2798X,1070,images\1211995.JPG
1211997,249//2798X,2130,images\1211997.JPG
1211999,337//2798X,1130,images\1211999.JPG
1212000,023//2798X,790,images\1212000.JPG
1212008,059//2793X,980,images\1212008.JPG
1212009,005//2798X,790,images\1212009.JPG
1212010,591//2798,730,images\1212010.JPG
1212012,C47//2798X,1740,images\1212012.JPG
1212014,F11//2798X,1480,images\1212014.JPG
1212016,C40//2387X,1540,images\1212016.JPG
1212018,160//2798X,1360,images\1212018.JPG
1212019,845//2798X,1920,images\1212019.JPG
1212023,F11//2799X,1480,images\1212023.JPG
1212024,845//2799X,1920,images\1212024.JPG
1212027,086//70X,1050,images\1212027.JPG
1212029,659//U4654,12980,images\1212029.JPG
1212032,590//U4884,850,images\1212032.JPG
1212035,059//U4833,1980,images\1212035.JPG
1212036,556//U4783,1620,images\1212036.JPG
1212038,074//U4833,1570,images\1212038.JPG
1212040,556//U4884,1070,images\1212040.JPG
1212041,E17//U4777,2580,images\1212041.JPG
1212045,E20//U4777,3080,images\1212045.JPG
1212047,D21//U4777,850,images\1212047.JPG
1212048,337//U4777,2230,images\1212048.JPG
1212049,E70//U4777,3370,images\1212049.JPG
1212051,160//U4833,2650,images\1212051.JPG
1212053,202//2480X,3370,images\1212053.JPG
1212058,C20//2108X,400,images\1212058.JPG
1212060,D86//2480X,2580,images\1212060.JPG
1212063,A61//2480X,2550,images\1212063.JPG
1212065,142//2662X,1660,images\1212065.JPG
1212066,160//2662X,1230,images\1212066.JPG
1212068,C20//2480X,470,images\1212068.JPG
1212069,A38//2572X,1400,images\1212069.JPG
1212070,F02//2572X,1660,images\1212070.JPG
1212071,E14//2252X,1810,images\1212071.JPG
1212072,F11//2518#,1480,images\1212072.JPG
1212073,E26//2252X,730,images\1212073.JPG
1212074,F34//70X,1070,images\1212074.JPG
1212075,A35//70X,980,images\1212075.JPG
1212078,B50//2518#,1070,images\1212078.JPG
1212079,C20//2518#,470,images\1212079.JPG
1212080,562//2518,790,images\1212080.JPG
1212081,A93//2518,370,images\1212081.JPG
1212083,E14//1522X,1510,images\1212083.JPG
1212084,E80//2387X,1170,images\1212084.JPG
1212086,419//1832X,1590,images\1212086.JPG
1212087,B50//1832X,880,images\1212087.JPG
1212089,D21//1832X,370,images\1212089.JPG
1212090,C92//1832X,3400,images\1212090.JPG
1212092,448//848X,1550,images\1212092.JPG
1212093,337//848X,1050,images\1212093.JPG
1212094,F11//1832X,1230,images\1212094.JPG
1212099,F14//U5014,14770,images\1212099.JPG
1212102,F11//U4471,1920,images\1212102.JPG
1212104,244//U4471,1230,images\1212104.JPG
1212106,385//1932X,1430,images\1212106.JPG
1212108,F14//U5036,14770,images\1212108.JPG
1212110,F04//U4812,6740,images\1212110.JPG
1212111,F05//U4812,6740,images\1212111.JPG
1212112,385//2286X,1720,images\1212112.JPG
1212113,385//2285X,1720,images\1212113.JPG
1212114,E82//U4812,26060,images\1212114.JPG
1212115,617//U5014,15680,images\1212115.JPG
1212116,865//U4812,3080,images\1212116.JPG
1212117,F28//U4812,7480,images\1212117.JPG
1212121,059//U5048,3630,images\1212121.JPG
1212122,E36//U5037,3550,images\1212122.JPG
1212123,E36//U5036,6420,images\1212123.JPG
1212126,D86//U4909,3340,images\1212126.JPG
1212139,202//2387X,3370,images\1212139.JPG
1212143,160//2125X,1230,images\1212143.JPG
1212145,249//2799X,2130,images\1212145.JPG
1212149,F11//2793X,1480,images\1212149.JPG
1212154,618//2125X,2530,images\1212154.JPG
1212156,E36//2125X,1650,images\1212156.JPG
1212158,005//2736X,720,images\1212158.JPG
1212165,E32//2387X,980,images\1212165.JPG
1212166,249//70X,1950,images\1212166.JPG
1212167,120//U408B,3080,images\1212167.JPG
1212171,005//2737X,790,images\1212171.JPG
1212172,F11//2737X,1480,images\1212172.JPG
1212178,160//U4777,2650,images\1212178.JPG
1212181,261//U4884,1110,images\1212181.JPG
1212183,E36//U4884,2330,images\1212183.JPG
1212191,879//2039X,690,images\1212191.JPG
1212193,428//2480X,880,images\1212193.JPG
1212200,E22//2225X,2440,images\1212200.JPG
1212208,F11//U4885,1920,images\1212208.JPG
1212213,691//2669X,2410,images\1212213.JPG
1212215,F02//70X,1510,images\1212215.JPG
1212217,C64//2669,470,images\1212217.JPG
1212218,E36//70X,1650,images\1212218.JPG
1212221,E25//70X,1100,images\1212221.JPG
1212223,556//2669X,750,images\1212223.JPG
1212226,E80//70X,1070,images\1212226.JPG
1212227,E24//1771X,1390,images\1212227.JPG
1212228,559//1522,1200,images\1212228.JPG
1212231,834//2286,2130,images\1212231.JPG
1212232,E24//70X,1510,images\1212232.JPG
1212233,834//2669,1950,images\1212233.JPG
1212236,C40//848X,1400,images\1212236.JPG
1212238,B13//848X,1170,images\1212238.JPG
1212241,C03//848X,1070,images\1212241.JPG
1212242,559//242,1310,images\1212242.JPG
1212250,E25//242X,1100,images\1212250.JPG
1212253,278//1832X,3730,images\1212253.JPG
1212254,556//1832X,690,images\1212254.JPG
1212258,B13//1832X,1080,images\1212258.JPG
1212259,063//848X,2270,images\1212259.JPG
1212261,E24//242X,1510,images\1212261.JPG
1212262,834//242,1950,images\1212262.JPG
1212265,090//U4812,16950,images\1212265.JPG
1212267,F72//U4812,5400,images\1212267.JPG
1212270,F14//U5042,14770,images\1212270.JPG
1212273,845//U4799,2480,images\1212273.JPG
1212275,845//U5036,6800,images\1212275.JPG
1212276,717//U5036,9390,images\1212276.JPG
1212277,C17//U5037,2120,images\1212277.JPG
1212279,451//U5041,5300,images\1212279.JPG
1212281,E63//U5048,6930,images\1212281.JPG
1212286,073//U5048,4470,images\1212286.JPG
1212290,014//U4909,2190,images\1212290.JPG
1212294,410//U4909,3190,images\1212294.JPG
1212295,482//U4909,2960,images\1212295.JPG
1212297,G19//U5048,9720,images\1212297.JPG
1212299,602//U5037,8120,images\1212299.JPG
1212302,020//U5036,5320,images\1212302.JPG
1212304,028//U5036,13530,images\1212304.JPG
1212305,G19//U5036,9720,images\1212305.JPG
1212309,F14//U5048,14770,images\1212309.JPG
1212310,617//U5048,15680,images\1212310.JPG
1212312,F14//U5050,14770,images\1212312.JPG
1212313,617//U4909,5720,images\1212313.JPG
1212314,C52//U5050,4600,images\1212314.JPG
1212318,617//U5036,15680,images\1212318.JPG
1212319,983//U4799,3860,images\1212319.JPG
1212321,448//2285X,1720,images\1212321.JPG
1212322,005//2218X,720,images\1212322.JPG
1212328,410//2286X,2470,images\1212328.JPG
1212331,F11//2750X,1480,images\1212331.JPG
1212332,B13//2740X,1300,images\1212332.JPG
1212336,005//2750X,790,images\1212336.JPG
1212339,C27//70X,980,images\1212339.JPG
1212341,448//70X,1550,images\1212341.JPG
1212343,590//2798,660,images\1212343.JPG
1212349,C26//2218X,2050,images\1212349.JPG
1212354,337//2218X,1050,images\1212354.JPG
1212355,410//2218X,2240,images\1212355.JPG
1212356,014//2812X,1540,images\1212356.JPG
1212361,F11//2736X,1340,images\1212361.JPG
1212367,337//2713X,1050,images\1212367.JPG
1212369,410//2285X,2470,images\1212369.JPG
1212371,845//2857X,1920,images\1212371.JPG
1212374,C55//U4654,5120,images\1212374.JPG
1212375,E20//U4884,2050,images\1212375.JPG
1212378,A25//U4777,2550,images\1212378.JPG
1212380,E25//U4833,2360,images\1212380.JPG
1212383,D21//U4833,850,images\1212383.JPG
1212386,A80//U4833,4080,images\1212386.JPG
1212387,E19//U4833,3980,images\1212387.JPG
1212388,E20//U4783,3080,images\1212388.JPG
1212391,889//U4833,1110,images\1212391.JPG
1212394,306//U4833,3340,images\1212394.JPG
1212396,A80//U4777,4080,images\1212396.JPG
1212401,C20//2252X,470,images\1212401.JPG
1212404,385//2252X,1720,images\1212404.JPG
1212405,E24//U4777,3260,images\1212405.JPG
1212406,410//U4825,3190,images\1212406.JPG
1212409,768//U4885,1510,images\1212409.JPG
1212414,A61//1932X,2120,images\1212414.JPG
1212415,F11//1932X,1230,images\1212415.JPG
1212425,E22//U4885,3470,images\1212425.JPG
1212427,A61//U4760,3280,images\1212427.JPG
1212429,419//U4760,2450,images\1212429.JPG
1212431,717//U4760,3430,images\1212431.JPG
1212432,249//U4760,2760,images\1212432.JPG
1212434,410//U4760,3190,images\1212434.JPG
1212438,F11//U4760,1920,images\1212438.JPG
1212444,D43//2651X,6420,images\1212444.JPG
1212447,005//U4779,1540,images\1212447.JPG
1212448,F11//U4779,2900,images\1212448.JPG
1212449,337//U4779,2230,images\1212449.JPG
1212450,419//U4779,3720,images\1212450.JPG
1212454,160//U4779,2650,images\1212454.JPG
1212459,563//2651,720,images\1212459.JPG
1212460,589//2651,700,images\1212460.JPG
1212463,592//2651,460,images\1212463.JPG
1212465,B93//2651,520,images\1212465.JPG
1212466,C63//2651,640,images\1212466.JPG
1212467,C64//2651,520,images\1212467.JPG
1212468,E22//U4779,5260,images\1212468.JPG
1212469,D43//U4779,12570,images\1212469.JPG
1212470,410//U4779,4830,images\1212470.JPG
1212472,C20//U4779,930,images\1212472.JPG
1212473,559//U4779,2830,images\1212473.JPG
1212475,591//U4779,1300,images\1212475.JPG
1212476,559//2651,1450,images\1212476.JPG
1212477,437//2651,1590,images\1212477.JPG
1212478,590//2480,660,images\1212478.JPG
1212479,563//2480,720,images\1212479.JPG
1212480,589//2480,700,images\1212480.JPG
1212484,005//2796X,790,images\1212484.JPG
1212487,005//2739X,790,images\1212487.JPG
1212491,014//U4782,2190,images\1212491.JPG
1212493,034//U5004,9590,images\1212493.JPG
1212497,070//2849Q,980,images\1212497.JPG
1212502,074//U4779,1570,images\1212502.JPG
1212504,074//U4783,1570,images\1212504.JPG
1212509,098//U4783,1910,images\1212509.JPG
1212512,106//U4783,1140,images\1212512.JPG
1212515,106//2821X,580,images\1212515.JPG
1212516,108//U4783,1830,images\1212516.JPG
1212520,160//2218X,1230,images\1212520.JPG
1212523,168//U4783,1970,images\1212523.JPG
1212524,174//2480X,810,images\1212524.JPG
1212528,224//U4725,6580,images\1212528.JPG
1212531,244//U5004,4110,images\1212531.JPG
1212533,249//2285X,2130,images\1212533.JPG
1212534,249//2286X,2130,images\1212534.JPG
1212537,261//U4782,1110,images\1212537.JPG
1212539,262//2821X,300,images\1212539.JPG
1212540,278//U4654,8780,images\1212540.JPG
1212543,328//U4779,1190,images\1212543.JPG
1212550,337//1558X,940,images\1212550.JPG
1212556,410//1558X,2060,images\1212556.JPG
1212563,428//U4783,1720,images\1212563.JPG
1212567,438//2651,1450,images\1212567.JPG
1212569,438//2355,1310,images\1212569.JPG
1212573,482//2286X,2290,images\1212573.JPG
1212575,559//2100,1310,images\1212575.JPG
1212576,559//2355,1310,images\1212576.JPG
1212577,559//35,1200,images\1212577.JPG
1212580,563//2387,720,images\1212580.JPG
1212581,563//2100,660,images\1212581.JPG
1212582,563//2355,660,images\1212582.JPG
1212585,590//2100,590,images\1212585.JPG
1212586,590//2355,590,images\1212586.JPG
1212587,590//35,550,images\1212587.JPG
1212590,591//35,610,images\1212590.JPG
1212592,592//2100,410,images\1212592.JPG
1212596,659//2387,6640,images\1212596.JPG
1212603,820//U5015,6740,images\1212603.JPG
1212604,845//2858X,1920,images\1212604.JPG
1212606,845//1558X,1600,images\1212606.JPG
1212609,865//U4654,2230,images\1212609.JPG
1212611,879//U4783,1460,images\1212611.JPG
1212613,879//U4725,3250,images\1212613.JPG
1212631,B88//U4782,560,images\1212631.JPG
1212633,B88//U4825,560,images\1212633.JPG
1212635,B89//U4782,1070,images\1212635.JPG
1212638,B90//U4783,2680,images\1212638.JPG
1212639,B90//U4782,1770,images\1212639.JPG
1212640,B93//2100,470,images\1212640.JPG
1212642,B93//35,430,images\1212642.JPG
1212646,C15//U4783,2120,images\1212646.JPG
1212649,C20//U4760,610,images\1212649.JPG
1212650,C20//1558X,400,images\1212650.JPG
1212651,C20//U4782,610,images\1212651.JPG
1212652,C20//35X,400,images\1212652.JPG
1212656,C47//2849Q,1740,images\1212656.JPG
1212659,C47//2387X,1740,images\1212659.JPG
1212662,C55//2252X,2620,images\1212662.JPG
1212665,C63//2100,580,images\1212665.JPG
1212666,C64//2100,470,images\1212666.JPG
1212667,C64//2355,470,images\1212667.JPG
1212670,D03//2387X,3920,images\1212670.JPG
1212671,D03//U4783,7670,images\1212671.JPG
1212675,D21//U4901,850,images\1212675.JPG
1212676,D43//2352X,5840,images\1212676.JPG
1212679,D63//2387,1130,images\1212679.JPG
1212688,E24//U4833,3260,images\1212688.JPG
1212690,E70//2387X,1720,images\1212690.JPG
1212693,E82//U5036,34080,images\1212693.JPG
1212698,F12//U1473,2620,images\1212698.JPG
1212699,F12//U1476,2620,images\1212699.JPG
1212703,C47//2736X,1590,images\1212703.JPG
1212710,590//2713,590,images\1212710.JPG
1212711,591//2713,670,images\1212711.JPG
1212735,B89//2713X,750,images\1212735.JPG
1212738,278//2218X,4070,images\1212738.JPG
1212739,E70//70X,1550,images\1212739.JPG
1212740,845//2713X,1740,images\1212740.JPG
1212742,879//2713X,690,images\1212742.JPG
1212747,206//2218X,1190,images\1212747.JPG
1212749,617//U408B,8670,images\1212749.JPG
1212752,F11//2739X,1480,images\1212752.JPG
1212754,070//2713X,930,images\1212754.JPG
1212759,925//2713X,2410,images\1212759.JPG
1212760,617//2713X,3980,images\1212760.JPG
1212763,E54//2387X,670,images\1212763.JPG
1212771,E25//2713X,1100,images\1212771.JPG
1212774,820//U4812,6740,images\1212774.JPG
1212775,B18//U4777,4880,images\1212775.JPG
1212780,C47//U4760,2240,images\1212780.JPG
1212781,D43//2100X,5840,images\1212781.JPG
1212782,617//2355X,3980,images\1212782.JPG
1212783,438//2480,1450,images\1212783.JPG
1212784,244//1932X,790,images\1212784.JPG
1212785,E22//1932X,2240,images\1212785.JPG
1212786,F11//1558X,1230,images\1212786.JPG
1212787,159//1558X,1720,images\1212787.JPG
1212790,E82//U4879,49700,images\1212790.JPG
1212793,046//U4598,4660,images\1212793.JPG
1212797,F12//U5004,4210,images\1212797.JPG
1212798,098//U5004,4210,images\1212798.JPG
1212804,C58//U4725,20760,images\1212804.JPG
1212805,A25//2821X,1300,images\1212805.JPG
1212808,602//U4725,17980,images\1212808.JPG
1212810,385//U4644,2230,images\1212810.JPG
1212816,142//375NX,1520,images\1212816.JPG
1212817,590//375N,550,images\1212817.JPG
1212820,219//375NX,1050,images\1212820.JPG
1212821,249//375NX,1780,images\1212821.JPG
1212825,056//2757X,2910,images\1212825.JPG
1212826,057//2757X,2050,images\1212826.JPG
1212830,C20//2713X,430,images\1212830.JPG
1212833,337//375NX,940,images\1212833.JPG
1212834,B88//375NX,370,images\1212834.JPG
1212839,879//2709X,750,images\1212839.JPG
1212842,845//375NX,1600,images\1212842.JPG
1212848,516//375NX,850,images\1212848.JPG
1212850,337//U4901,2230,images\1212850.JPG
1212860,B34//2757X,3080,images\1212860.JPG
1212861,B88//2757X,440,images\1212861.JPG
1212863,D59//2757X,560,images\1212863.JPG
1212864,E92//U5070,3810,images\1212864.JPG
1212866,328//U5064,3120,images\1212866.JPG
1212867,591//U5070,1980,images\1212867.JPG
1212871,617//2757X,4420,images\1212871.JPG
1212872,656//2709X,640,images\1212872.JPG
1212873,244//U5070,2580,images\1212873.JPG
1212874,907//U4725,28980,images\1212874.JPG
1212876,337//U5064,5850,images\1212876.JPG
1212878,E92//U5064,7270,images\1212878.JPG
1212881,A60//2821X,1070,images\1212881.JPG
1212885,244//U5064,4910,images\1212885.JPG
1212886,106//2757X,580,images\1212886.JPG
1212888,005//U5070,2130,images\1212888.JPG
1212889,590//2757,660,images\1212889.JPG
1212891,592//2757,460,images\1212891.JPG
1212892,244//2757X,940,images\1212892.JPG
1212893,845//2757X,1920,images\1212893.JPG
1212895,337//U5070,3080,images\1212895.JPG
1212896,E22//1026X,2440,images\1212896.JPG
1212897,278//2757X,4480,images\1212897.JPG
1212898,438//2757,1450,images\1212898.JPG
1212899,D52//U5070,5460,images\1212899.JPG
1212902,499//2709X,1490,images\1212902.JPG
1212904,070//U5070,2770,images\1212904.JPG
1212905,261//U5070,2330,images\1212905.JPG
1212911,E22//2252X,2680,images\1212911.JPG
1212913,604//2709X,640,images\1212913.JPG
1212915,F11//2709X,1480,images\1212915.JPG
1212923,014//2709X,1710,images\1212923.JPG
1212925,591//2921,670,images\1212925.JPG
1212935,879//U5070,2050,images\1212935.JPG
1212937,328//U5070,1630,images\1212937.JPG
1212954,F12//U3060,2620,images\1212954.JPG
1212959,F11//36X,1230,images\1212959.JPG
1212962,C01//U5070,8720,images\1212962.JPG
1212964,768//2757X,1170,images\1212964.JPG
1212965,876//U5070,14810,images\1212965.JPG
1212966,C20//2709X,470,images\1212966.JPG
1212968,D59//2821X,560,images\1212968.JPG
1212969,E22//2757X,2680,images\1212969.JPG
1212970,D02//2709X,1590,images\1212970.JPG
1212971,056//2709X,2910,images\1212971.JPG
1212975,385//U5070,4660,images\1212975.JPG
1212977,942//U5070,4980,images\1212977.JPG
1212978,A52//U5070,12480,images\1212978.JPG
1212982,845//U5070,5200,images\1212982.JPG
1212986,C20//U4644,610,images\1212986.JPG
1212988,005//2712*,720,images\1212988.JPG
1212990,E82//U5070,26060,images\1212990.JPG
1212993,617//375NX,3690,images\1212993.JPG
1212995,174//375NX,670,images\1212995.JPG
1212996,E22//375NX,2240,images\1212996.JPG
1212999,261//U5064,4440,images\1212999.JPG
1213000,C20//375NX,400,images\1213000.JPG
1213002,141//2709X,2270,images\1213002.JPG
1213004,590//2709,660,images\1213004.JPG
